cell_id,grid_row,grid_col,latitude,longitude,zone_name,lst_celsius,ndvi,building_density_pct,open_space_pct,road_density_km_per_sqkm,soil_type,annual_rainfall_mm,summer_max_temp_celsius,hvi_score,hvi_category,hvi_rank
BPL_CELL_0001,0,0,23.2305,77.3905,Arera Colony Residential Belt,34.67,0.435,35.6,50.1,8.4,Clay Loam,1123.5,42.5,0.305,Low Vulnerability,1169
BPL_CELL_0002,0,1,23.2305,77.3915,Arera Colony Residential Belt,33.45,0.467,37.9,50.1,8.6,Clay Loam,1100.3,42.5,0.2756,Low Vulnerability,1247
BPL_CELL_0003,0,2,23.2305,77.3925,Arera Colony Residential Belt,35.39,0.443,33.4,45.0,8.7,Clay Loam,1118.6,42.5,0.3196,Low Vulnerability,1109
BPL_CELL_0004,0,3,23.2305,77.3935,Arera Colony Residential Belt,35.98,0.494,36.3,47.1,7.8,Clay Loam,1079.3,42.5,0.3149,Low Vulnerability,1130
BPL_CELL_0005,0,4,23.2305,77.3945,Arera Colony Residential Belt,35.59,0.433,37.3,48.7,9.1,Clay Loam,1118.4,42.5,0.3314,Low Vulnerability,1073
BPL_CELL_0006,0,5,23.2305,77.3955,Arera Colony Residential Belt,33.8,0.435,31.7,50.9,8.4,Clay Loam,1103.1,42.5,0.2752,Low Vulnerability,1248
BPL_CELL_0007,0,6,23.2305,77.3965,Arera Colony Residential Belt,35.4,0.403,39.0,45.0,8.4,Clay Loam,1083.7,42.5,0.3523,Moderate Vulnerability,1040
BPL_CELL_0008,0,7,23.2305,77.3975,Arera Colony Residential Belt,34.54,0.437,37.4,48.1,8.9,Clay Loam,1086.7,42.5,0.3111,Low Vulnerability,1141
BPL_CELL_0009,0,8,23.2305,77.3985,Arera Colony Residential Belt,34.24,0.418,34.4,49.5,8.3,Clay Loam,1108.9,42.5,0.3013,Low Vulnerability,1182
BPL_CELL_0010,0,9,23.2305,77.3995,Arera Colony Residential Belt,36.9,0.426,34.6,47.8,8.0,Clay Loam,1092.8,42.5,0.3532,Moderate Vulnerability,1039
BPL_CELL_0011,0,10,23.2305,77.4005,Arera Colony Residential Belt,36.08,0.437,31.0,46.4,9.3,Clay Loam,1083.7,42.5,0.3253,Low Vulnerability,1091
BPL_CELL_0012,0,11,23.2305,77.4015,Arera Colony Residential Belt,33.5,0.466,36.6,47.8,9.0,Clay Loam,1126.6,42.5,0.2779,Low Vulnerability,1244
BPL_CELL_0013,0,12,23.2305,77.4025,Arera Colony Residential Belt,35.36,0.422,34.0,45.5,9.3,Clay Loam,1085.9,42.5,0.3282,Low Vulnerability,1080
BPL_CELL_0014,0,13,23.2305,77.4035,Arera Colony Residential Belt,34.29,0.441,40.5,47.7,9.6,Clay Loam,1123.9,42.5,0.3147,Low Vulnerability,1131
BPL_CELL_0015,0,14,23.2305,77.4045,Arera Colony Residential Belt,34.29,0.452,40.2,47.9,8.7,Clay Loam,1076.6,42.5,0.309,Low Vulnerability,1151
BPL_CELL_0016,0,15,23.2305,77.4055,Arera Colony Residential Belt,34.95,0.403,31.5,47.0,8.6,Clay Loam,1092.9,42.5,0.3175,Low Vulnerability,1119
BPL_CELL_0017,0,16,23.2305,77.4065,Arera Colony Residential Belt,35.9,0.439,42.8,46.9,9.8,Clay Loam,1110.9,42.5,0.3548,Moderate Vulnerability,1037
BPL_CELL_0018,0,17,23.2305,77.4075,Arera Colony Residential Belt,34.9,0.417,35.4,47.1,8.2,Clay Loam,1096.1,42.5,0.3222,Low Vulnerability,1102
BPL_CELL_0019,0,18,23.2305,77.4085,Arera Colony Residential Belt,32.66,0.461,37.9,46.4,8.0,Clay Loam,1124.8,42.5,0.2704,Low Vulnerability,1255
BPL_CELL_0020,0,19,23.2305,77.4095,Arera Colony Residential Belt,34.8,0.457,33.9,45.4,7.7,Clay Loam,1079.2,42.5,0.3034,Low Vulnerability,1174
BPL_CELL_0021,0,20,23.2305,77.4105,Arera Colony Residential Belt,34.89,0.403,36.8,44.4,9.2,Clay Loam,1071.2,42.5,0.3372,Low Vulnerability,1064
BPL_CELL_0022,0,21,23.2305,77.4115,Arera Colony Residential Belt,34.8,0.496,32.9,49.3,7.9,Clay Loam,1073.5,42.5,0.2769,Low Vulnerability,1245
BPL_CELL_0023,0,22,23.2305,77.4125,Arera Colony Residential Belt,36.37,0.39,39.5,49.8,9.7,Clay Loam,1116.0,42.5,0.3677,Moderate Vulnerability,1027
BPL_CELL_0024,0,23,23.2305,77.4135,Arera Colony Residential Belt,35.44,0.464,38.9,45.8,8.3,Clay Loam,1122.3,42.5,0.3268,Low Vulnerability,1086
BPL_CELL_0025,0,24,23.2305,77.4145,MP Nagar Commercial Zone,45.65,0.07,75.5,8.3,18.0,Deep Black Clay (Vertisol),1129.7,42.5,0.8642,Extreme Hotspot,259
BPL_CELL_0026,0,25,23.2305,77.4155,MP Nagar Commercial Zone,46.94,0.041,78.0,8.0,17.8,Deep Black Clay (Vertisol),1083.5,42.5,0.9084,Extreme Hotspot,43
BPL_CELL_0027,0,26,23.2305,77.4165,MP Nagar Commercial Zone,45.57,0.094,81.3,11.6,18.8,Deep Black Clay (Vertisol),1083.7,42.5,0.8634,Extreme Hotspot,262
BPL_CELL_0028,0,27,23.2305,77.4175,MP Nagar Commercial Zone,46.75,0.109,77.1,11.5,18.1,Deep Black Clay (Vertisol),1110.1,42.5,0.8679,Extreme Hotspot,235
BPL_CELL_0029,0,28,23.2305,77.4185,MP Nagar Commercial Zone,46.31,0.076,85.2,8.0,16.4,Deep Black Clay (Vertisol),1118.4,42.5,0.9036,Extreme Hotspot,59
BPL_CELL_0030,0,29,23.2305,77.4195,MP Nagar Commercial Zone,46.47,0.065,82.5,6.6,18.2,Deep Black Clay (Vertisol),1098.0,42.5,0.906,Extreme Hotspot,53
BPL_CELL_0031,0,30,23.2305,77.4205,MP Nagar Commercial Zone,46.02,0.016,82.6,9.4,17.2,Deep Black Clay (Vertisol),1121.7,42.5,0.9114,Extreme Hotspot,38
BPL_CELL_0032,0,31,23.2305,77.4215,MP Nagar Commercial Zone,46.67,0.06,83.3,6.5,18.1,Deep Black Clay (Vertisol),1086.7,42.5,0.9143,Extreme Hotspot,32
BPL_CELL_0033,0,32,23.2305,77.4225,MP Nagar Commercial Zone,46.2,0.128,74.5,11.6,17.6,Deep Black Clay (Vertisol),1130.0,42.5,0.8419,Extreme Hotspot,398
BPL_CELL_0034,0,33,23.2305,77.4235,MP Nagar Commercial Zone,46.11,0.101,73.1,14.7,17.1,Deep Black Clay (Vertisol),1080.0,42.5,0.8405,Extreme Hotspot,408
BPL_CELL_0035,0,34,23.2305,77.4245,MP Nagar Commercial Zone,45.58,0.062,80.0,10.1,16.1,Deep Black Clay (Vertisol),1085.9,42.5,0.8756,Extreme Hotspot,183
BPL_CELL_0036,0,35,23.2305,77.4255,MP Nagar Commercial Zone,48.0,0.067,77.2,5.0,18.7,Deep Black Clay (Vertisol),1129.7,42.5,0.9222,Extreme Hotspot,18
BPL_CELL_0037,0,36,23.2305,77.4265,MP Nagar Commercial Zone,44.85,0.044,82.7,11.6,18.8,Deep Black Clay (Vertisol),1102.5,42.5,0.8736,Extreme Hotspot,199
BPL_CELL_0038,0,37,23.2305,77.4275,MP Nagar Commercial Zone,45.97,0.06,79.8,6.4,17.3,Deep Black Clay (Vertisol),1121.2,42.5,0.8908,Extreme Hotspot,107
BPL_CELL_0039,0,38,23.2305,77.4285,MP Nagar Commercial Zone,47.46,0.124,83.0,10.4,16.8,Deep Black Clay (Vertisol),1084.1,42.5,0.8951,Extreme Hotspot,88
BPL_CELL_0040,0,39,23.2305,77.4295,MP Nagar Commercial Zone,45.44,0.106,86.0,9.0,18.9,Deep Black Clay (Vertisol),1107.2,42.5,0.8752,Extreme Hotspot,184
BPL_CELL_0041,1,0,23.2315,77.3905,Arera Colony Residential Belt,33.76,0.459,27.9,47.0,8.9,Clay Loam,1084.3,42.5,0.2617,Low Vulnerability,1259
BPL_CELL_0042,1,1,23.2315,77.3915,Arera Colony Residential Belt,36.17,0.404,39.2,47.2,9.2,Clay Loam,1115.1,42.5,0.3627,Moderate Vulnerability,1032
BPL_CELL_0043,1,2,23.2315,77.3925,Arera Colony Residential Belt,35.69,0.455,47.7,47.3,9.0,Clay Loam,1085.9,42.5,0.358,Moderate Vulnerability,1036
BPL_CELL_0044,1,3,23.2315,77.3935,Arera Colony Residential Belt,35.08,0.497,33.1,50.1,8.0,Clay Loam,1079.5,42.5,0.2808,Low Vulnerability,1237
BPL_CELL_0045,1,4,23.2315,77.3945,Arera Colony Residential Belt,35.5,0.4,28.1,42.3,8.4,Clay Loam,1119.0,42.5,0.3288,Low Vulnerability,1077
BPL_CELL_0046,1,5,23.2315,77.3955,Arera Colony Residential Belt,34.71,0.426,40.9,49.5,8.3,Clay Loam,1076.9,42.5,0.3262,Low Vulnerability,1089
BPL_CELL_0047,1,6,23.2315,77.3965,Arera Colony Residential Belt,35.69,0.464,35.3,52.0,8.4,Clay Loam,1108.1,42.5,0.3083,Low Vulnerability,1152
BPL_CELL_0048,1,7,23.2315,77.3975,Arera Colony Residential Belt,34.21,0.437,40.0,52.8,7.6,Clay Loam,1075.5,42.5,0.3028,Low Vulnerability,1176
BPL_CELL_0049,1,8,23.2315,77.3985,Arera Colony Residential Belt,34.16,0.451,42.0,48.1,8.1,Clay Loam,1114.5,42.5,0.3118,Low Vulnerability,1137
BPL_CELL_0050,1,9,23.2315,77.3995,Arera Colony Residential Belt,34.27,0.41,34.8,49.2,8.5,Clay Loam,1123.0,42.5,0.3068,Low Vulnerability,1157
BPL_CELL_0051,1,10,23.2315,77.4005,Arera Colony Residential Belt,35.73,0.419,38.3,44.6,8.7,Clay Loam,1088.5,42.5,0.351,Moderate Vulnerability,1043
BPL_CELL_0052,1,11,23.2315,77.4015,Arera Colony Residential Belt,35.18,0.483,32.3,52.1,7.2,Clay Loam,1082.6,42.5,0.2819,Low Vulnerability,1234
BPL_CELL_0053,1,12,23.2315,77.4025,Arera Colony Residential Belt,34.8,0.454,37.4,41.9,7.6,Clay Loam,1079.3,42.5,0.322,Low Vulnerability,1104
BPL_CELL_0054,1,13,23.2315,77.4035,Arera Colony Residential Belt,35.5,0.494,33.0,53.4,8.3,Clay Loam,1122.9,42.5,0.283,Low Vulnerability,1230
BPL_CELL_0055,1,14,23.2315,77.4045,Arera Colony Residential Belt,36.25,0.448,32.0,54.0,9.0,Clay Loam,1118.6,42.5,0.3116,Low Vulnerability,1139
BPL_CELL_0056,1,15,23.2315,77.4055,Arera Colony Residential Belt,33.1,0.434,42.1,52.7,9.5,Clay Loam,1121.5,42.5,0.2891,Low Vulnerability,1218
BPL_CELL_0057,1,16,23.2315,77.4065,Arera Colony Residential Belt,35.09,0.494,33.1,48.6,8.7,Clay Loam,1071.4,42.5,0.2853,Low Vulnerability,1226
BPL_CELL_0058,1,17,23.2315,77.4075,Arera Colony Residential Belt,34.18,0.449,38.9,53.2,6.9,Clay Loam,1086.7,42.5,0.2934,Low Vulnerability,1203
