cell_id,grid_row,grid_col,latitude,longitude,zone_name,lst_celsius,ndvi,building_density_pct,open_space_pct,road_density_km_per_sqkm,soil_type,annual_rainfall_mm,summer_max_temp_celsius,hvi_score,hvi_category,hvi_rank
BPL_CELL_0308,7,27,23.2375,77.4175,MP Nagar Commercial Zone,48.5,-0.011,81.3,11.5,17.1,Deep Black Clay (Vertisol),1081.6,42.5,0.9617,Extreme Hotspot,1
BPL_CELL_0307,7,26,23.2375,77.4165,MP Nagar Commercial Zone,47.36,0.062,88.8,6.2,17.3,Deep Black Clay (Vertisol),1102.6,42.5,0.9436,Extreme Hotspot,2
BPL_CELL_0150,3,29,23.2335,77.4195,MP Nagar Commercial Zone,47.94,0.034,83.7,9.8,18.8,Deep Black Clay (Vertisol),1104.5,42.5,0.9435,Extreme Hotspot,3
BPL_CELL_0470,11,29,23.2415,77.4195,MP Nagar Commercial Zone,47.05,0.054,89.0,6.0,18.0,Deep Black Clay (Vertisol),1097.1,42.5,0.9418,Extreme Hotspot,4
BPL_CELL_0225,5,24,23.2355,77.4145,MP Nagar Commercial Zone,46.64,0.035,89.0,6.0,17.2,Deep Black Clay (Vertisol),1092.9,42.5,0.9415,Extreme Hotspot,5
BPL_CELL_0429,10,28,23.2405,77.4185,MP Nagar Commercial Zone,47.59,0.063,85.3,5.0,17.4,Deep Black Clay (Vertisol),1074.2,42.5,0.9398,Extreme Hotspot,6
BPL_CELL_0276,6,35,23.2365,77.4255,MP Nagar Commercial Zone,46.88,0.04,86.5,5.9,17.8,Deep Black Clay (Vertisol),1099.9,42.5,0.937,Extreme Hotspot,7
BPL_CELL_0228,5,27,23.2355,77.4175,MP Nagar Commercial Zone,47.25,0.049,86.8,8.2,19.5,Deep Black Clay (Vertisol),1078.8,42.5,0.9367,Extreme Hotspot,8
BPL_CELL_0159,3,38,23.2335,77.4285,MP Nagar Commercial Zone,47.95,0.048,79.4,5.0,19.2,Deep Black Clay (Vertisol),1091.9,42.5,0.9353,Extreme Hotspot,9
BPL_CELL_0116,2,35,23.2325,77.4255,MP Nagar Commercial Zone,47.6,0.016,82.5,12.5,17.2,Deep Black Clay (Vertisol),1107.5,42.5,0.9351,Extreme Hotspot,10
BPL_CELL_0231,5,30,23.2355,77.4205,MP Nagar Commercial Zone,47.76,0.036,77.4,5.2,18.2,Deep Black Clay (Vertisol),1119.8,42.5,0.9301,Extreme Hotspot,11
BPL_CELL_0311,7,30,23.2375,77.4205,MP Nagar Commercial Zone,46.7,0.028,85.5,9.5,18.0,Deep Black Clay (Vertisol),1089.4,42.5,0.928,Extreme Hotspot,12
