hvi_rank,cell_id,zone_name,lst_celsius,hvi_score,building_density_pct,open_space_pct,recommendation_rank,species_id,common_name,scientific_name,hindi_name,match_score,cooling_value,canopy_spread_m,root_type,justification
1,BPL_CELL_0308,MP Nagar Commercial Zone,48.5,0.9617,81.3,11.5,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
1,BPL_CELL_0308,MP Nagar Commercial Zone,48.5,0.9617,81.3,11.5,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
1,BPL_CELL_0308,MP Nagar Commercial Zone,48.5,0.9617,81.3,11.5,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
2,BPL_CELL_0307,MP Nagar Commercial Zone,47.36,0.9436,88.8,6.2,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
2,BPL_CELL_0307,MP Nagar Commercial Zone,47.36,0.9436,88.8,6.2,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
2,BPL_CELL_0307,MP Nagar Commercial Zone,47.36,0.9436,88.8,6.2,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
3,BPL_CELL_0150,MP Nagar Commercial Zone,47.94,0.9435,83.7,9.8,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
3,BPL_CELL_0150,MP Nagar Commercial Zone,47.94,0.9435,83.7,9.8,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
3,BPL_CELL_0150,MP Nagar Commercial Zone,47.94,0.9435,83.7,9.8,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
4,BPL_CELL_0470,MP Nagar Commercial Zone,47.05,0.9418,89.0,6.0,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
4,BPL_CELL_0470,MP Nagar Commercial Zone,47.05,0.9418,89.0,6.0,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
4,BPL_CELL_0470,MP Nagar Commercial Zone,47.05,0.9418,89.0,6.0,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
5,BPL_CELL_0225,MP Nagar Commercial Zone,46.64,0.9415,89.0,6.0,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
5,BPL_CELL_0225,MP Nagar Commercial Zone,46.64,0.9415,89.0,6.0,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
5,BPL_CELL_0225,MP Nagar Commercial Zone,46.64,0.9415,89.0,6.0,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
6,BPL_CELL_0429,MP Nagar Commercial Zone,47.59,0.9398,85.3,5.0,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
6,BPL_CELL_0429,MP Nagar Commercial Zone,47.59,0.9398,85.3,5.0,2,SPECIES_12,North Indian Rosewood / Sheesham,Dalbergia sissoo,शीशम,95.0,High,10.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
6,BPL_CELL_0429,MP Nagar Commercial Zone,47.59,0.9398,85.3,5.0,3,SPECIES_01,Neem,Azadirachta indica,नीम,90.0,Very High,12.0,Deep Taproot,Very high cooling capacity critical for severe microclimate heat island | Deep taproot is safe near paved sidewalks and building foundations | Large crown may conflict with adjacent overhead utilities/structures | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
7,BPL_CELL_0276,MP Nagar Commercial Zone,46.88,0.937,86.5,5.9,1,SPECIES_05,Karanj,Millettia pinnata,करंज,100.0,High,9.0,Deep Taproot,High cooling capacity helps buffer high surface temperature | Deep taproot is safe near paved sidewalks and building foundations | Moderate crown size manageable with urban pruning | Highly tolerant of shrink-swell characteristics of Bhopal Vertisols | Excellent drought resilience during Bhopal's pre-monsoon heatwaves | High dust and vehicular particulate absorption capacity
